,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
2,MobilenetV3large (lr: 0_0001),0.9830849650755751,0.9782620422544397,0.9564678282890635,0.23929836,0.957321,0.9138191638750729,0.23929836,0.957321,0.9318181818181818,0.9885057471264368,0.9593252618691334,0.18140224,0.957321
11,vgg19 (lr: 0_0001),0.9832911024421769,0.9793488343456398,0.9559716981406318,0.21823841,0.9568935,0.9129165956250901,0.21823841,0.9568935,0.9323358050847458,0.9869638351555929,0.9588723954786872,0.21823841,0.9568935
8,resnet152 (lr: 0_0001),0.9837430873346855,0.9803019013887754,0.9545195117257922,0.22835167,0.95518345,0.9096849402054373,0.22835167,0.95518345,0.9350093607916555,0.9800953181945613,0.9570216260607719,0.22375326,0.95518345
7,resnet152 (lr: 0_00005),0.9825657369695733,0.9788378701158081,0.9513999483162391,0.32126486,0.9521197,0.9035154845449889,0.32126486,0.9521197,0.9273809523809524,0.9827586206896551,0.954267047774602,0.21083215,0.9520484
5,MobilenetV3small (lr: 0_0001),0.9841816256157055,0.9813100884502315,0.9509441511720127,0.18001857,0.9518347,0.9028222731297663,0.18001857,0.9518347,0.9282588516111921,0.9812167087188113,0.9540034071550256,0.18001857,0.9518347
10,vgg19 (lr: 0_00005),0.9844715605588866,0.9819462703135625,0.9492255159580073,0.39068198,0.9496972,0.8991570152698665,0.20029342,0.95005345,0.9241824894514767,0.9824782730585927,0.9524391901073516,0.20029342,0.95005345
4,MobilenetV3small (lr: 0_00005),0.979713592862685,0.9734344332376221,0.9486506930700638,0.49571827,0.9492697,0.897894333764478,0.49571827,0.9492697,0.9260979169430809,0.9784132324081861,0.9515370458728104,0.37124595,0.9492697
1,MobilenetV3large (lr: 0_00005),0.9756820671804898,0.9680034805169986,0.9460249446463452,0.564948,0.9469184,0.892989367386491,0.564948,0.9469184,0.918610747051114,0.9824782730585927,0.949471687889461,0.38720304,0.9467759
0,MobilenetV3large (lr: 0_00001),0.9775622568971468,0.9712134672610973,0.9406296785902423,0.47501805,0.9412184,0.8818180566217716,0.47501805,0.9412184,0.9218938076768758,0.9662181104569666,0.9435356922866334,0.44892186,0.94114715
3,MobilenetV3small (lr: 0_00001),0.9787594928100641,0.9740576465046905,0.9382105599239298,0.48593086,0.93872464,0.8769367538425521,0.41265592,0.9388671,0.9158606068636544,0.9688814129520605,0.9416252298889721,0.39234468,0.9388671
6,resnet152 (lr: 0_00001),0.9764978316628052,0.9720531686166433,0.9363052260385233,0.30581826,0.9372996,0.8736872847094924,0.30581826,0.9372996,0.9131985731272295,0.9688814129520605,0.9402162823913487,0.30040446,0.9372996
9,vgg19 (lr: 0_00001),0.9791443665177423,0.9757560822064097,0.9367099899115484,0.40501353,0.9372996,0.8739807133342083,0.40501353,0.9372996,0.9201934703748489,0.9600504625735913,0.9396995266515744,0.40447602,0.9372996
