,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
8,resnet152 (lr: 0_0001),0.9947386519044242,0.9933911573547088,0.9778852320727693,0.5531824,0.9780787,0.9559183831883166,0.50194424,0.97810936,0.9667237005133046,0.9909283338373148,0.9786763827499702,0.48096308,0.97810936
1,MobilenetV3large (lr: 0_00005),0.9945819174120779,0.9931890885029604,0.9771420282462003,0.5920538,0.9772821,0.9543630834982622,0.5920538,0.9772821,0.965542651653599,0.9905352283035984,0.977879276374709,0.38922015,0.9772821
7,resnet152 (lr: 0_00005),0.9942250649327738,0.9930765363071377,0.9768072077014129,0.5311895,0.9770064,0.953745224987357,0.5311895,0.9770064,0.9670118343195266,0.988358028424554,0.977568416330193,0.523758,0.9770064
10,vgg19 (lr: 0_00005),0.9944180078849432,0.993188598596477,0.9764104238824403,0.4482962,0.9766694,0.9530237164449534,0.42131335,0.9766847,0.9640514223516606,0.9909585727245237,0.9773198335893115,0.40941128,0.9766847
4,MobilenetV3small (lr: 0_00005),0.9937913407690132,0.9922638774123262,0.9754839461543913,0.48008594,0.97571963,0.9511340249275119,0.48008594,0.97571963,0.9646694214876033,0.988297550650136,0.9763405526512323,0.48008594,0.97571963
2,MobilenetV3large (lr: 0_0001),0.9937687200459899,0.9924225235400415,0.9744809135466728,0.37731734,0.9747239,0.9491353554986346,0.37731734,0.9747239,0.9634775938873646,0.9875718173571213,0.9753759314289128,0.37731734,0.9747239
5,MobilenetV3small (lr: 0_0001),0.9939698796686817,0.9927482489603627,0.9743410184320175,0.4623382,0.9746013,0.9488732360105387,0.4623382,0.9746013,0.9627589051589523,0.9881161173268824,0.9752727164196923,0.46101,0.9746013
6,resnet152 (lr: 0_00001),0.9924793890612551,0.9898918589338785,0.969127682794703,0.52926826,0.96934694,0.9384059140950665,0.52926826,0.96934694,0.9553848859705693,0.9855458119141216,0.9702310073827102,0.42054316,0.96934694
9,vgg19 (lr: 0_00001),0.9928550951942869,0.9914094172143437,0.9686281934115081,0.44495544,0.96893334,0.9374956972088565,0.44495544,0.96893334,0.9542022708650357,0.9859993952222558,0.9698402783974301,0.38537878,0.968918
3,MobilenetV3small (lr: 0_00001),0.9927840588292577,0.9910800687073478,0.968329762939257,0.4983957,0.9685657,0.9368265474090295,0.4983957,0.9685657,0.9545454545454546,0.9849107952827336,0.969490415525658,0.3982743,0.968581
0,MobilenetV3large (lr: 0_00001),0.9926304562853646,0.9908663837084946,0.9674895779417891,0.4738154,0.9677997,0.9352240694594816,0.4738154,0.9677997,0.9546375407381309,0.9831871787118234,0.9687020512744119,0.46602634,0.9677997
11,vgg19 (lr: 0_0001),0.9925356336355605,0.9913131516156483,0.9656687203936093,0.22100088,0.9660534,0.9316833998554741,0.21204507,0.96606874,0.950557794521348,0.9842455397641366,0.967108390777276,0.21158303,0.96606874
