,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
0,MobilenetV3large (lr: 0_0001),0.925317055510531,0.9440196155333487,0.8595282320672027,-0.32623518,0.86437356,0.738717067583047,0.10451567,0.86443293,0.9987623762376238,0.7395189003436426,0.8498091351849414,-0.32623518,0.86437356
1,MobilenetV3large (lr: 0_0005),0.9337496089508517,0.9496281792430785,0.8593958256288443,-0.30744982,0.86419535,0.7384791089635039,0.9158262,0.86431414,0.9979910369340133,0.7397479954180985,0.8496809420432866,-0.30744982,0.86419535
2,MobilenetV3large (lr: 0_001),0.9186978250669819,0.9399254153087933,0.8587002004783133,-0.28596312,0.86372006,0.7373336335912244,-0.28596312,0.86372006,0.9998446963814257,0.7374570446735396,0.8488364427450722,-0.28596312,0.86372006
11,vgg19 (lr: 0_001),0.9254700117431371,0.9431065817475217,0.8563901896188548,-0.33303353,0.8608685,0.7312503578285248,-0.33303353,0.8608685,0.9865853658536585,0.7413516609392898,0.8465663832570307,-0.3381788,0.8605715
8,resnet152 (lr: 0_001),0.9083526189655269,0.9250434401349134,0.8316797017086986,0.9999743,0.8363334,0.6821463180452024,0.99997556,0.8360364,0.9439224459358687,0.724971363115693,0.8200842241658568,0.9999724,0.834967
4,MobilenetV3small (lr: 0_0005),0.8538321120159844,0.8148554896012287,0.7811687042859908,0.86514354,0.78072834,0.5649283515969012,0.86514354,0.78072834,0.7088879347359381,0.9455899198167239,0.8103067484662577,-0.40855455,0.7703321
6,resnet152 (lr: 0_0001),0.8445826351701229,0.796381440257109,0.7746683247870287,0.9985244,0.77413416,0.5512740391853512,0.9985244,0.77413416,0.7040411710115583,0.9558991981672395,0.8108633338191712,-0.35118434,0.7686687
3,MobilenetV3small (lr: 0_0001),0.8356433682658791,0.7855526978986824,0.7713859065610719,0.9248502,0.7708073,0.5442655195797408,0.95915914,0.7708073,0.6851111466496081,0.9814432989690721,0.8069316255415333,-0.36316237,0.75637144
7,resnet152 (lr: 0_0005),0.8401359345505652,0.789067339688605,0.7793182969482938,-0.3370055,0.78001547,0.5590115747720606,-0.3371349,0.7803719,0.6836921121614108,0.9859106529209622,0.8074487546320184,-0.33939448,0.75607437
5,MobilenetV3small (lr: 0_001),0.8362816212625563,0.7875803520766004,0.7714542504347118,-0.3219484,0.7712826,0.5430976520935566,-0.32588965,0.7721737,0.6828417380272757,0.986483390607102,0.807047137100553,-0.35833287,0.7553021
10,vgg19 (lr: 0_0005),0.8316069564833863,0.7702296619013567,0.7729248660260899,0.8046396,0.7723519,0.5474387535395868,0.9427638,0.7723519,0.6805970149253732,0.9924398625429554,0.8074557315936627,-0.38271084,0.7544704
9,vgg19 (lr: 0_0001),0.8389137124697075,0.7882352073300452,0.7722325531670005,-0.31737238,0.77163905,0.5456653235639255,-0.31737238,0.77163905,0.6795873710534542,0.9961053837342497,0.807953172907182,-0.38253462,0.75435156
