,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
1,MobilenetV3large (lr: 0_0005),0.8004005487460479,0.8562567920423084,0.7863606252097651,0.9998184,0.79552263,0.5940268691334374,0.9998197,0.79587907,0.9000571102227298,0.6688357617767718,0.7674078883298167,0.9998184,0.79552263
5,MobilenetV3small (lr: 0_001),0.7889304675836144,0.8265201730635681,0.7696708290692659,0.9999621,0.78169113,0.5682143445154768,0.9999777,0.7828319,0.8943009268388878,0.6415334559343613,0.7471169686985173,0.99994993,0.7810495
9,vgg19 (lr: 0_0001),0.8498355589870992,0.8109524878465136,0.7693153597300427,-0.4193325,0.769856,0.5467050155296873,0.9869611,0.77256525,0.6997055937193327,0.9077663035790069,0.7902709359605912,-0.4314359,0.75709397
0,MobilenetV3large (lr: 0_0001),0.8500358374268969,0.8278160345213995,0.7693711273777402,0.99974823,0.77484673,0.5514254011460535,0.999769,0.77477545,0.7007363446532586,0.9019663318715518,0.7887184562097971,-0.4407083,0.75638103
6,resnet152 (lr: 0_0001),0.8688333908476811,0.8565456491333608,0.7817760486618852,0.999488,0.7881078,0.5780859090905671,0.9996558,0.7881078,0.6876355748373102,0.941717357476305,0.7948656716417911,-0.44754642,0.7549551
3,MobilenetV3small (lr: 0_0001),0.8196913814877165,0.7845405557960775,0.757591161322907,0.725055,0.7606588,0.5226639775531983,0.725055,0.7606588,0.6819176882661997,0.8813127740840289,0.7688984881209503,-0.4333449,0.7329246
8,resnet152 (lr: 0_001),0.6319772086612602,0.596280112234408,0.6230925416163429,0.6821737,0.62740624,0.2538497249427414,0.6821737,0.62740624,0.5419510930614361,0.887254208516056,0.6728891749812251,-0.99982053,0.5651647
7,resnet152 (lr: 0_0005),0.6339185441080145,0.6002246013846748,0.6229025840259472,0.71140474,0.6271924,0.2534253367690251,0.71140474,0.6271924,0.5350501892381109,0.9199320978922054,0.6765853404775529,-0.9999454,0.55653787
4,MobilenetV3small (lr: 0_0005),0.6237367863658483,0.5903984711445321,0.6223982952942233,0.6920438,0.6268359,0.2526929718199217,0.6920438,0.6268359,0.5203026092326695,0.9534587636157872,0.6732257903411077,-0.9995233,0.5334379
10,vgg19 (lr: 0_0005),0.6240735152315825,0.5903313992875342,0.6227915364529374,0.41276622,0.6274775,0.2539433624081221,0.41276622,0.6274775,0.5116348226897628,0.973546470505022,0.6707602339181286,-0.99995553,0.51825184
11,vgg19 (lr: 0_001),0.6302830720563375,0.5941445786704151,0.6228375869526692,0.7344766,0.6265507,0.25324060357185146,0.6815839,0.62712103,0.5070809248554913,0.9927854010468241,0.6712898751733702,-0.9998902,0.50998145
2,MobilenetV3large (lr: 0_001),0.6291825624143523,0.5994701593046186,0.623117179637712,0.7526496,0.62726367,0.2535872960332506,0.7526496,0.62726367,0.506021489868032,0.9926439383222521,0.6703286205578907,-0.9999858,0.5079139
