,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
4,MobilenetV3small (lr: 0_0005),0.7836077834231254,0.8216334875920146,0.7751503114005873,0.9996053,0.7891633,0.5818454981714037,0.999874,0.78928584,0.9246275584633747,0.6343371849695205,0.7524553009317553,0.9996053,0.7891633
3,MobilenetV3small (lr: 0_0001),0.8726543899310094,0.9056812105566726,0.7956955904659845,-0.4430684,0.8032262,0.6291775141750987,-0.38059986,0.81270874,0.8005949555365676,0.7672337973493464,0.7835594375271014,-0.44673285,0.785885
1,MobilenetV3large (lr: 0_0005),0.8487309299364233,0.8184464544778877,0.7619007004224901,-0.46342283,0.76217103,0.5391852760096432,0.95682985,0.76826805,0.6717262226060672,0.9435295544839717,0.78475935828877,-0.46408048,0.738549
9,vgg19 (lr: 0_0001),0.8585681282767632,0.853117027839037,0.7643996048992485,0.990669,0.7752842,0.553730920243342,0.9988992,0.77542204,0.6673227504171837,0.9459861098474509,0.7825879696418492,-0.46494633,0.73448944
6,resnet152 (lr: 0_0001),0.871506457331223,0.8863192375814002,0.7702272612355575,0.9999951,0.7837403,0.5749105787439328,0.9999975,0.78544074,0.6582385601354002,0.9671852727989567,0.7833509370931689,-0.47383326,0.7297558
0,MobilenetV3large (lr: 0_0001),0.8528983681183753,0.8328787763142372,0.7624266354545982,-0.46390337,0.7634425,0.5496270799398455,0.9567368,0.77338463,0.650200591644041,0.9732205137536772,0.7795741372818152,-0.4672702,0.72198904
11,vgg19 (lr: 0_001),0.6830573994745448,0.6732804117126657,0.6293345827143738,0.0,0.5525904,0.3875710017613573,0.0,0.5525904,0.6271124315147774,0.9858672246989961,0.7665931681779057,-0.01781688,0.69674313
5,MobilenetV3small (lr: 0_001),0.6324965702334637,0.6035489602559416,0.6268076469464785,0.35697153,0.6274089,0.2543957534296621,0.35697153,0.6274089,0.5123037523661063,0.976768871500925,0.6720993322203672,-0.9999401,0.51859736
8,resnet152 (lr: 0_001),0.6310612746229083,0.6264626766705335,0.6274585115162677,0.49448785,0.628083,0.2557333141480735,0.49448785,0.628083,0.5103616736269797,0.9821672277317806,0.6716928692910773,-0.9999857,0.51501274
7,resnet152 (lr: 0_0005),0.6290792258619969,0.5987292312340647,0.6274462067282238,0.5584123,0.6280064,0.2556588618962315,-0.10505812,0.62805235,0.5076614969027992,0.9917204985897553,0.671554432875362,-0.9999838,0.5099421
10,vgg19 (lr: 0_0005),0.6286926751703951,0.6016383407808252,0.6273011853577752,0.36331126,0.6279451,0.25544907545443196,0.36331126,0.6279451,0.5052891396332864,0.99957541018409,0.6712558935245058,-0.9999699,0.50543827
2,MobilenetV3large (lr: 0_001),0.6253685021978157,0.5978020805857925,0.6274902965218107,0.5741521,0.62803704,0.2556768220257298,0.5741521,0.62803704,0.5051552709389794,1.0,0.671233434440079,-0.9999962,0.50517786
