,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
7,resnet152 (lr: 0_0005),0.9900526347824736,0.9856467160239577,0.9709118071062554,0.46304098,0.97138107,0.9420549988436964,0.46304098,0.97138107,0.9595141700404858,0.9860164104934704,0.9725847819891706,0.46304098,0.97138107
1,MobilenetV3large (lr: 0_0005),0.9874953388340746,0.9798409074818675,0.9698983817230281,0.5645374,0.97025293,0.9399509030676896,0.5645374,0.97025293,0.9606735224319132,0.9824338379752687,0.9714318363615588,0.5497745,0.97025293
2,MobilenetV3large (lr: 0_001),0.9889617000376957,0.9842462040775166,0.9693530742878771,0.2260912,0.97007483,0.939139281939054,0.2260912,0.97007483,0.9535841495992876,0.9900612504333757,0.971480410500652,0.2260912,0.97007483
6,resnet152 (lr: 0_0001),0.9871258043232276,0.9795820545969338,0.9688646257429856,0.3969458,0.9693623,0.9379816658666553,0.3969458,0.9693623,0.9550436144039365,0.9869409453368774,0.9707303211139527,0.34931836,0.9693623
10,vgg19 (lr: 0_0005),0.9853378274337198,0.9739922623776719,0.9689850496752224,0.7508586,0.9693623,0.9381388221130863,0.7508586,0.9693623,0.9542206342117017,0.9876343464694326,0.970640013629394,0.58438855,0.9692436
4,MobilenetV3small (lr: 0_0005),0.9899567971325532,0.9860857911386482,0.9681555353179098,0.62899053,0.96859044,0.936518585807727,0.62899053,0.96859044,0.9544691799977626,0.9860164104934704,0.9699863574351978,0.53425944,0.96859044
9,vgg19 (lr: 0_0001),0.9903547258933841,0.9880362894403936,0.9677863772401253,0.47468895,0.9681748,0.9357489068813536,0.47468895,0.9681748,0.9541233075976279,0.9854385762163411,0.9695281409891984,0.30728608,0.96811545
8,resnet152 (lr: 0_001),0.9895054668598249,0.985062209353935,0.9673808562031205,0.6620053,0.9678779,0.9350139163577933,0.6620053,0.9678779,0.9555306007860752,0.9833583728186756,0.9692447887003075,0.65945405,0.9678779
0,MobilenetV3large (lr: 0_0001),0.9896591726121595,0.9839449700125691,0.9673298833105775,0.4938868,0.9676404,0.9347873833057362,0.4938868,0.9676404,0.9539908205530057,0.9848607419392118,0.9691800295689753,0.28467974,0.9677592
3,MobilenetV3small (lr: 0_0001),0.9884630718878199,0.9825213303152727,0.9673052128665358,0.5314455,0.96752167,0.9347088051825208,0.43931052,0.9676404,0.9581873658040456,0.9798913671558996,0.9689178379613759,0.43931052,0.9676404
5,MobilenetV3small (lr: 0_001),0.9854857823625616,0.9784560739506932,0.9633063681444025,0.57059205,0.9638404,0.9268934431114497,0.57059205,0.9638404,0.9513070795467296,0.9798913671558996,0.9653876807468974,0.57059205,0.9638404
11,vgg19 (lr: 0_001),0.9862823525629629,0.9813766607373595,0.9626194625045049,0.54384774,0.96324664,0.9255937146646296,0.54384774,0.96324664,0.9480316716850675,0.9824338379752687,0.9649262202043133,0.50919974,0.96324664
