,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
9,vgg19 (lr: 0_0001),0.9440972259884244,0.9291159322792371,0.889912168631789,0.41484582,0.8921981,0.7828872531688605,0.39586318,0.8922693,0.8573789246218381,0.9454723857583404,0.8992733817745484,0.39586318,0.8922693
0,MobilenetV3large (lr: 0_0001),0.943467418799427,0.9275222224225248,0.889307150384044,0.4815954,0.8905593,0.7801613081513643,0.40745616,0.89077306,0.847004722843649,0.9552845528455285,0.8978919631093544,0.23886439,0.88949054
3,MobilenetV3small (lr: 0_0001),0.9472266810671345,0.9361422687606826,0.8872781643117307,0.60844576,0.8879943,0.7759058415452115,0.50202876,0.8885643,0.8588007736943907,0.9335576114381834,0.8946201894015717,0.46588588,0.8881368
6,resnet152 (lr: 0_0001),0.9494311027111091,0.9401050518988536,0.8835628379165682,0.5866525,0.8850018,0.7688498235711136,0.5866525,0.8850018,0.837454100367197,0.9590692458648724,0.8941453214845793,0.3994308,0.884503
11,vgg19 (lr: 0_001),0.9369126222529559,0.9232706622445017,0.8740655814473612,0.52622586,0.87702173,0.7522038122809162,0.52622586,0.87702173,0.8154027042915932,0.9721054107092795,0.8868853507257497,0.33656153,0.8738867
8,resnet152 (lr: 0_001),0.942250033281379,0.9326763331519654,0.8726822520387272,0.48091242,0.87524045,0.7489798145236972,0.4731424,0.87538296,0.8227497288829979,0.9571068124474348,0.8848571243439383,0.39588192,0.8733167
5,MobilenetV3small (lr: 0_001),0.9361632072516478,0.9268053613470059,0.8652674893108024,0.54798824,0.86954045,0.7374794477074482,0.5392962,0.86996794,0.8237015362106803,0.9470142977291842,0.8810641627543037,0.5392962,0.86996794
1,MobilenetV3large (lr: 0_0005),0.936748134851395,0.9250427650364768,0.8674949761641568,0.5269258,0.86832917,0.7377546360646163,0.42016473,0.8697542,0.8132558691012568,0.9614522007289038,0.8811664953751285,0.26660955,0.8681154
2,MobilenetV3large (lr: 0_001),0.9308119636817991,0.9160243361257201,0.8644897554246757,0.5381987,0.86704665,0.732423298354675,0.5381987,0.86704665,0.8089794956398775,0.9622932436220913,0.8790012804097312,0.4250113,0.8652654
10,vgg19 (lr: 0_0005),0.9239566800551855,0.899893855907441,0.8597403619125092,0.6624756,0.86248666,0.7255101150814635,0.5040705,0.86419666,0.8008997577575269,0.9732268012335296,0.8786939188761628,0.3928208,0.8633416
7,resnet152 (lr: 0_0005),0.9247416615470014,0.9093845863062897,0.8559193903303717,0.58377475,0.85942286,0.7178744709662268,0.4806292,0.8603491,0.7949332420403972,0.9764507989907485,0.8763917720324589,0.26424643,0.85992163
4,MobilenetV3small (lr: 0_0005),0.9186324820490784,0.9050506352583024,0.8485473178023786,0.56484103,0.85350907,0.7045219045098026,0.56484103,0.85350907,0.7945795044783064,0.9575273338940286,0.8684762570720234,0.2786926,0.8525116
