,Title,AUC-ROC,AUC-PRC,G-Mean,Threshold G-Mean,Accuracy G-Mean,J,Threshold J,Accuracy J,Precision,Recall,F-Score,Threshold F-Score,Accuracy F-Score
3,MobilenetV3small (lr: 0_0001),0.9708402675964547,0.9645682846021799,0.9236356780351257,0.559045,0.9245699,0.8483411587137129,0.559045,0.9245699,0.8908696498595544,0.9686422739643181,0.9281295724861286,0.4070788,0.9239878
7,resnet152 (lr: 0_0005),0.9713328932332386,0.9651112124830985,0.9226658129443697,0.5504217,0.923467,0.8464416197720132,0.51693064,0.9236355,0.8943141934578127,0.9631387964922891,0.9274514086044988,0.45691422,0.9236508
0,MobilenetV3large (lr: 0_0001),0.9707534921577317,0.964359362882174,0.9230867383420965,0.45922294,0.9239112,0.8470869616938952,0.45922294,0.9239112,0.8906650328617578,0.9671000907166616,0.927310156861608,0.33094695,0.92317593
10,vgg19 (lr: 0_0005),0.9689545046276651,0.9606620112373938,0.9217841462673436,0.52447027,0.9229461,0.8449733612105537,0.52447027,0.9229461,0.8936624266419566,0.9623828243120653,0.9267504331493965,0.4921154,0.92291546
9,vgg19 (lr: 0_0001),0.9680352970027375,0.9593823951152799,0.9224319133209847,0.61528563,0.9231606,0.8456440563302711,0.61528563,0.9231606,0.8896709043870142,0.9670698518294527,0.926757175768289,0.4562167,0.9225478
1,MobilenetV3large (lr: 0_0005),0.9692833071099933,0.9622018669156955,0.921166656005657,0.56003463,0.92240995,0.8438608416719036,0.56003463,0.92240995,0.8882042742159312,0.9677048684608407,0.9262518089725037,0.4827499,0.92191976
8,resnet152 (lr: 0_001),0.9692233799614051,0.9616605462188237,0.9195607906889999,0.59862745,0.92028064,0.8402452559735556,0.5447709,0.92054105,0.8895103330630051,0.9618385243423042,0.9242615757892749,0.47841397,0.92012745
6,resnet152 (lr: 0_0001),0.9683564404816242,0.9606121776478818,0.9188070541746366,0.53947824,0.91946876,0.8386657418906639,0.4645571,0.91979045,0.8878968807544222,0.9623223465376474,0.9236127234734153,0.410963,0.9193462
4,MobilenetV3small (lr: 0_0005),0.9679579206952911,0.9611934620474683,0.9184535898286332,0.58134794,0.91922367,0.8377457536257068,0.58134794,0.91922367,0.8888608870967742,0.9598729966737224,0.9230031112791138,0.47168943,0.91885597
2,MobilenetV3large (lr: 0_001),0.9656322081580065,0.957337745675011,0.9148391337114549,0.5047686,0.91548586,0.8303488734275326,0.5047686,0.91548586,0.8774244876683768,0.9671303296038706,0.9200960860747113,0.34685436,0.9148884
5,MobilenetV3small (lr: 0_001),0.9639533814542443,0.9560822767211612,0.907914214962941,0.4956369,0.9092051,0.8174335948770035,0.4956369,0.9092051,0.8664698873483535,0.9675536740247959,0.9142261207463069,0.40822178,0.90801024
11,vgg19 (lr: 0_001),0.6557284660964185,0.6107779848324976,0.6272799411070227,0.56715107,0.6286708,0.2672487662625085,0.4830753,0.6355183,0.5827807834682505,0.8664348351980647,0.6968480957245002,0.36099637,0.6180701
